real	0m0.033s
real	0m0.031s
real	0m0.033s
real	0m0.039s
real	0m0.028s
real	0m0.027s
real	0m0.027s
real	0m0.026s
real	0m0.028s
real	0m0.028s
real	0m0.027s
real	0m0.027s
real	0m0.030s
real	0m0.028s
real	0m0.028s
real	0m0.027s
real	0m0.026s
real	0m0.027s
real	0m0.026s
real	0m0.027s
real	0m0.025s
real	0m0.025s
real	0m0.026s
real	0m0.026s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.026s
real	0m0.025s
real	0m0.026s
real	0m0.026s
real	0m0.029s
real	0m0.027s
real	0m0.028s
real	0m0.028s
real	0m0.027s
real	0m0.026s
real	0m0.028s
real	0m0.030s
real	0m0.028s
real	0m0.026s
real	0m0.027s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.035s
real	0m0.028s
real	0m0.026s
real	0m0.027s
real	0m0.028s
real	0m0.026s
real	0m0.029s
real	0m0.031s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.026s
real	0m0.025s
real	0m0.026s
real	0m0.028s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.025s
real	0m0.027s
real	0m0.027s
real	0m0.028s
real	0m0.025s
real	0m0.027s
real	0m0.028s
real	0m0.028s
real	0m0.028s
real	0m0.029s
real	0m0.027s
real	0m0.028s
real	0m0.028s
real	0m0.029s
real	0m0.028s
real	0m0.029s
real	0m0.027s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.025s
real	0m0.027s
real	0m0.026s
real	0m0.026s
real	0m0.026s
real	0m0.026s
real	0m0.028s
real	0m0.031s
real	0m0.028s
real	0m0.025s
real	0m0.026s
real	0m0.026s
real	0m0.026s
real	0m0.025s
real	0m0.026s
real	0m0.026s
real	0m0.023s
