1,0.465
2,0.402
3,0.402
4,0.404
5,0.405
6,0.409
7,0.405
8,0.402
9,0.415
10,0.401
11,0.402
12,0.399
13,0.406
14,0.401
15,0.404
16,0.400
17,0.403
18,0.403
19,0.405
20,0.407
21,0.401
22,0.412
23,0.401
24,0.402
25,0.406
26,0.404
27,0.405
28,0.400
29,0.408
30,0.406
31,0.404
32,0.404
33,0.403
34,0.401
35,0.403
36,0.407
37,0.402
38,0.399
39,0.401
40,0.411
41,0.403
42,0.407
43,0.403
44,0.406
45,0.403
46,0.409
47,0.405
48,0.404
49,0.403
50,0.408
51,0.405
52,0.405
53,0.404
54,0.411
55,0.406
56,0.401
57,0.403
58,0.447
59,0.405
60,0.407
61,0.401
62,0.401
63,0.404
64,0.407
65,0.403
66,0.401
67,0.404
68,0.406
69,0.407
70,0.404
71,0.404
72,0.404
73,0.404
74,0.406
75,0.401
76,0.402
77,0.404
78,0.406
79,0.409
80,0.404
81,0.407
82,0.403
83,0.404
84,0.408
85,0.415
86,0.408
87,0.400
88,0.399
89,0.414
90,0.401
91,0.399
92,0.405
93,0.400
94,0.406
95,0.401
96,0.408
97,0.402
98,0.403
99,0.406
100,0.400
